episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_total,policy_reward_mean,timesteps_this_iter,info,done,timesteps_total,experiment_id,date,timestamp,training_iteration,time_this_iter_s,time_total_s,pid,hostname,node_ip,config
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 100500, 'num_steps_trained': 25632000, 'num_steps_sampled': 402000, 'sample_time_ms': 10.257, 'replay_time_ms': 23.378, 'grad_time_ms': 13.074, 'update_time_ms': 9.876, 'opt_peak_throughput': 19581.465, 'opt_samples': 256.0}",False,402000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-38-25,1538285905,402,15.571408033370972,7913.576496362686,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 100750, 'num_steps_trained': 25696000, 'num_steps_sampled': 403000, 'sample_time_ms': 11.296, 'replay_time_ms': 24.85, 'grad_time_ms': 13.053, 'update_time_ms': 10.689, 'opt_peak_throughput': 19613.084, 'opt_samples': 256.0}",False,403000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-38-41,1538285921,403,15.558226108551025,7929.134722471237,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 101000, 'num_steps_trained': 25760000, 'num_steps_sampled': 404000, 'sample_time_ms': 7.844, 'replay_time_ms': 25.831, 'grad_time_ms': 12.911, 'update_time_ms': 13.451, 'opt_peak_throughput': 19828.295, 'opt_samples': 256.0}",False,404000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-38-56,1538285936,404,14.98525595664978,7944.119978427887,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
17.730502327980755,16.3044822400201,16.857212678305167,1000.0,4,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 101250, 'num_steps_trained': 25824000, 'num_steps_sampled': 405000, 'sample_time_ms': 10.095, 'replay_time_ms': 23.952, 'grad_time_ms': 14.053, 'update_time_ms': 11.526, 'opt_peak_throughput': 18217.231, 'opt_samples': 256.0}",False,405000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-39-12,1538285952,405,15.213274240493774,7959.333252668381,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 101500, 'num_steps_trained': 25888000, 'num_steps_sampled': 406000, 'sample_time_ms': 8.045, 'replay_time_ms': 24.251, 'grad_time_ms': 13.076, 'update_time_ms': 12.939, 'opt_peak_throughput': 19578.466, 'opt_samples': 256.0}",False,406000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-39-27,1538285967,406,15.271284341812134,7974.604537010193,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 101750, 'num_steps_trained': 25952000, 'num_steps_sampled': 407000, 'sample_time_ms': 12.524, 'replay_time_ms': 23.838, 'grad_time_ms': 13.375, 'update_time_ms': 10.397, 'opt_peak_throughput': 19139.988, 'opt_samples': 256.0}",False,407000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-39-43,1538285983,407,15.756384134292603,7990.3609211444855,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 102000, 'num_steps_trained': 26016000, 'num_steps_sampled': 408000, 'sample_time_ms': 10.685, 'replay_time_ms': 24.119, 'grad_time_ms': 13.113, 'update_time_ms': 12.601, 'opt_peak_throughput': 19523.324, 'opt_samples': 256.0}",False,408000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-39-58,1538285998,408,15.083064079284668,8005.44398522377,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
16.192885089081788,11.138433363375185,14.208264623431218,1000.0,4,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 102250, 'num_steps_trained': 26080000, 'num_steps_sampled': 409000, 'sample_time_ms': 8.398, 'replay_time_ms': 23.371, 'grad_time_ms': 14.127, 'update_time_ms': 12.252, 'opt_peak_throughput': 18121.277, 'opt_samples': 256.0}",False,409000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-40-13,1538286013,409,15.291109800338745,8020.735095024109,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 102500, 'num_steps_trained': 26144000, 'num_steps_sampled': 410000, 'sample_time_ms': 8.618, 'replay_time_ms': 23.058, 'grad_time_ms': 13.082, 'update_time_ms': 13.245, 'opt_peak_throughput': 19568.904, 'opt_samples': 256.0}",False,410000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-40-28,1538286028,410,15.275550127029419,8036.010645151138,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
nan,nan,nan,nan,0,{},1000,"{'min_exploration': 0.0020000000000000018, 'max_exploration': 0.0020000000000000018, 'num_target_updates': 102750, 'num_steps_trained': 26208000, 'num_steps_sampled': 411000, 'sample_time_ms': 11.645, 'replay_time_ms': 27.004, 'grad_time_ms': 15.104, 'update_time_ms': 12.606, 'opt_peak_throughput': 16949.304, 'opt_samples': 256.0}",False,411000,9af1d79865e2478e8fdb6cffbd39ca40,2018-09-30_15-40-44,1538286044,411,15.891968965530396,8051.902614116669,14903,9770L-142816-M.local,192.168.1.102,"{'gamma': 0.99, 'horizon': 1000, 'num_envs_per_worker': 1, 'num_workers': 4, 'sample_batch_size': 1, 'batch_mode': 'truncate_episodes', 'sample_async': False, 'observation_filter': 'NoFilter', 'clip_rewards': True, 'preprocessor_pref': 'deepmind', 'env_config': {}, 'env': 'my_env', 'model': {'use_lstm': False, 'max_seq_len': 20}, 'optimizer': {'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'sample_batch_size': 1, 'train_batch_size': 256, 'learning_starts': 1500}, 'tf_session_args': {'intra_op_parallelism_threads': 1, 'inter_op_parallelism_threads': 1, 'gpu_options': {'allow_growth': True}, 'log_device_placement': False, 'device_count': {'CPU': 1}, 'allow_soft_placement': True}, 'compress_observations': False, 'monitor': False, 'multiagent': {'policy_graphs': {}, 'policy_mapping_fn': None, 'policies_to_train': None}, 'actor_hiddens': [64, 64], 'actor_hidden_activation': 'relu', 'critic_hiddens': [64, 64], 'critic_hidden_activation': 'relu', 'n_step': 1, 'schedule_max_timesteps': 100000, 'timesteps_per_iteration': 1000, 'exploration_fraction': 0.1, 'exploration_final_eps': 0.02, 'noise_scale': 0.1, 'exploration_theta': 0.15, 'exploration_sigma': 0.2, 'target_network_update_freq': 0, 'tau': 0.002, 'buffer_size': 50000, 'prioritized_replay': True, 'prioritized_replay_alpha': 0.6, 'prioritized_replay_beta': 0.4, 'prioritized_replay_eps': 1e-06, 'actor_lr': 0.0001, 'critic_lr': 0.001, 'use_huber': False, 'huber_threshold': 1.0, 'l2_reg': 1e-06, 'grad_norm_clipping': None, 'learning_starts': 1500, 'train_batch_size': 256, 'gpu': False, 'num_gpus_per_worker': 0, 'num_cpus_per_worker': 1, 'optimizer_class': 'SyncReplayOptimizer', 'per_worker_exploration': False, 'worker_side_prioritization': False, 'min_iter_time_s': 1}"
